[1780928110539] replay_mouse called, events count: 578
[1780928110541] Paint HWND found, rect: 216 128 1536 864
[1780928110544] WM_SETFOCUS sent
[1780928110865] sent key: VK_ESCAPE
[1780928111087] sent key: VK_ESCAPE
[1780928111310] canvas click sent at 474,247
[1780928111611] event: mousemove Some(0.4368489583333333) Some(1.054398148148148) -> screen 887,992
[1780928111632] event: mousemove Some(0.427734375) Some(1.054398148148148) -> screen 873,992
[1780928111654] event: mousemove Some(0.4225260416666667) Some(1.0497685185185186) -> screen 865,992
[1780928111675] event: mousemove Some(0.419921875) Some(1.037037037037037) -> screen 861,992
[1780928111697] event: mousemove Some(0.4212239583333333) Some(1.0266203703703705) -> screen 863,992
[1780928111719] event: mousemove Some(0.4231770833333333) Some(0.9224537037037036) -> screen 866,925
[1780928111739] event: mousemove Some(0.4173177083333333) Some(0.6875) -> screen 857,722
[1780928111760] event: mousemove Some(0.4088541666666667) Some(0.5451388888888888) -> screen 844,599
[1780928111781] event: mousemove Some(0.3977864583333333) Some(0.46064814814814814) -> screen 827,526
[1780928111801] event: mousemove Some(0.3919270833333333) Some(0.4224537037037037) -> screen 818,493
[1780928111822] event: mousemove Some(0.3951822916666667) Some(0.3136574074074074) -> screen 823,399
[1780928111842] event: mousemove Some(0.4134114583333333) Some(0.23726851851851852) -> screen 851,333
[1780928111863] event: mousemove Some(0.4225260416666667) Some(0.19560185185185183) -> screen 865,297
[1780928111884] event: mousemove Some(0.419921875) Some(0.1840277777777778) -> screen 861,287
[1780928111904] event: mousemove Some(0.380859375) Some(0.16319444444444445) -> screen 801,269
[1780928111925] event: mousemove Some(0.3287760416666667) Some(0.13078703703703703) -> screen 721,241
[1780928111945] event: mousemove Some(0.3118489583333333) Some(0.11342592592592592) -> screen 695,226
[1780928111966] event: mousemove Some(0.306640625) Some(0.10648148148148148) -> screen 687,220
[1780928111987] event: mousemove Some(0.3216145833333333) Some(0.1099537037037037) -> screen 710,223
[1780928112007] event: mousemove Some(0.3268229166666667) Some(0.12037037037037036) -> screen 718,232
[1780928112028] event: mousemove Some(0.326171875) Some(0.13078703703703703) -> screen 717,241
[1780928112049] event: mousemove Some(0.3359375) Some(0.125) -> screen 732,236
[1780928112070] event: mousemove Some(0.3385416666666667) Some(0.11689814814814815) -> screen 736,229
[1780928112090] event: mousemove Some(0.345703125) Some(0.11226851851851852) -> screen 747,225
[1780928112111] event: mousemove Some(0.3509114583333333) Some(0.1076388888888889) -> screen 755,221
[1780928112132] colour_select: hex=#FBF8F8
[1780928113216] event: mousemove Some(0.3483072916666667) Some(0.11574074074074074) -> screen 751,228
[1780928113237] event: mousemove Some(0.357421875) Some(0.17824074074074073) -> screen 765,282
[1780928113258] event: mousemove Some(0.3776041666666667) Some(0.2951388888888889) -> screen 796,383
[1780928113278] event: mousemove Some(0.3697916666666667) Some(0.3993055555555556) -> screen 784,473
[1780928113299] event: mousemove Some(0.3606770833333333) Some(0.44560185185185186) -> screen 770,513
[1780928113320] event: mousemove Some(0.3561197916666667) Some(0.45717592592592593) -> screen 763,523
[1780928113340] event: mousemove Some(0.3352864583333333) Some(0.46064814814814814) -> screen 731,526
[1780928113361] event: mousemove Some(0.3196614583333333) Some(0.4398148148148148) -> screen 707,508
[1780928113381] event: mousedown Some(0.31640625) Some(0.4375) -> screen 702,506
[1780928113421] event: mousemove Some(0.458984375) Some(0.7326388888888888) -> screen 921,761
[1780928113442] event: mousemove Some(0.4700520833333333) Some(0.7418981481481481) -> screen 938,769
[1780928113462] event: mousemove Some(0.4947916666666667) Some(0.7592592592592593) -> screen 976,784
[1780928113483] event: mousemove Some(0.5110677083333334) Some(0.7847222222222222) -> screen 1001,806
[1780928113503] event: mousemove Some(0.525390625) Some(0.8159722222222222) -> screen 1023,833
[1780928113524] event: mousemove Some(0.5384114583333334) Some(0.8495370370370371) -> screen 1043,862
[1780928113545] event: mousemove Some(0.5520833333333334) Some(0.8587962962962963) -> screen 1064,870
[1780928113565] event: mousemove Some(0.578125) Some(0.8449074074074074) -> screen 1104,858
[1780928113586] event: mousemove Some(0.59375) Some(0.8298611111111112) -> screen 1128,845
[1780928113607] event: mousemove Some(0.6100260416666666) Some(0.8275462962962963) -> screen 1153,843
[1780928113627] event: mousemove Some(0.615234375) Some(0.8310185185185185) -> screen 1161,846
[1780928113649] event: mousemove Some(0.6373697916666666) Some(0.8541666666666666) -> screen 1195,866
[1780928113669] event: mousemove Some(0.646484375) Some(0.8657407407407407) -> screen 1209,876
[1780928113690] event: mouseup Some(0.6458333333333334) Some(0.8634259259259259) -> screen 1208,874
[1780928113711] event: mousemove Some(0.6256510416666666) Some(0.8194444444444444) -> screen 1177,836
[1780928113732] event: mousemove Some(0.55859375) Some(0.6990740740740741) -> screen 1074,732
[1780928113753] event: mousemove Some(0.4993489583333333) Some(0.5532407407407407) -> screen 983,606
[1780928113773] event: mousemove Some(0.4869791666666667) Some(0.4236111111111111) -> screen 964,494
[1780928113794] event: mousemove Some(0.4713541666666667) Some(0.33449074074074076) -> screen 940,417
[1780928113815] event: mousemove Some(0.4518229166666667) Some(0.2743055555555556) -> screen 910,365
[1780928113835] event: mousemove Some(0.43359375) Some(0.23958333333333337) -> screen 882,335
[1780928113856] event: mousemove Some(0.3997395833333333) Some(0.2175925925925926) -> screen 830,316
[1780928113877] event: mousemove Some(0.337890625) Some(0.1736111111111111) -> screen 735,278
[1780928113899] event: mousemove Some(0.30859375) Some(0.13657407407407407) -> screen 690,246
[1780928113920] event: mousemove Some(0.3203125) Some(0.1400462962962963) -> screen 708,249
[1780928113940] event: mousemove Some(0.328125) Some(0.1423611111111111) -> screen 720,251
[1780928113961] event: mousemove Some(0.3346354166666667) Some(0.13657407407407407) -> screen 730,246
[1780928113981] event: mousemove Some(0.330078125) Some(0.12962962962962962) -> screen 723,240
[1780928114002] event: mousemove Some(0.322265625) Some(0.1226851851851852) -> screen 711,234
[1780928114023] event: mousemove Some(0.3177083333333333) Some(0.1087962962962963) -> screen 704,222
[1780928114043] event: mousemove Some(0.3125) Some(0.1099537037037037) -> screen 696,223
[1780928114065] event: mousemove Some(0.3079427083333333) Some(0.10532407407407408) -> screen 689,219
[1780928114086] colour_select: hex=#FBF8F9
[1780928115171] event: mousemove Some(0.314453125) Some(0.10648148148148148) -> screen 699,220
[1780928115192] event: mousemove Some(0.3346354166666667) Some(0.11689814814814815) -> screen 730,229
[1780928115213] event: mousemove Some(0.400390625) Some(0.1412037037037037) -> screen 831,250
[1780928115233] event: mousemove Some(0.4602864583333333) Some(0.1712962962962963) -> screen 923,276
[1780928115254] event: mousemove Some(0.4954427083333333) Some(0.2141203703703704) -> screen 977,313
[1780928115275] event: mousemove Some(0.5078125) Some(0.26157407407407407) -> screen 996,354
[1780928115297] event: mousemove Some(0.5143229166666666) Some(0.2824074074074074) -> screen 1006,372
[1780928115317] event: mousemove Some(0.5390625) Some(0.3425925925925926) -> screen 1044,424
[1780928115338] event: mousemove Some(0.5748697916666666) Some(0.39351851851851855) -> screen 1099,468
[1780928115359] event: mousemove Some(0.5846354166666666) Some(0.4050925925925926) -> screen 1114,478
[1780928115379] event: mousemove Some(0.5924479166666666) Some(0.4155092592592592) -> screen 1126,487
[1780928115400] event: mousemove Some(0.5983072916666666) Some(0.43171296296296297) -> screen 1135,501
[1780928115420] event: mousemove Some(0.5983072916666666) Some(0.4212962962962963) -> screen 1135,492
[1780928115441] event: mousedown Some(0.5963541666666666) Some(0.4166666666666667) -> screen 1132,488
[1780928115484] event: mousemove Some(0.5872395833333334) Some(0.3657407407407408) -> screen 1118,444
[1780928115504] event: mousemove Some(0.5924479166666666) Some(0.3472222222222222) -> screen 1126,428
[1780928115525] event: mousemove Some(0.615234375) Some(0.3414351851851852) -> screen 1161,423
[1780928115546] event: mousemove Some(0.6223958333333334) Some(0.33796296296296297) -> screen 1172,420
[1780928115566] event: mousemove Some(0.6263020833333334) Some(0.32060185185185186) -> screen 1178,405
[1780928115587] event: mousemove Some(0.626953125) Some(0.30324074074074076) -> screen 1179,390
[1780928115608] event: mousemove Some(0.6373697916666666) Some(0.30439814814814814) -> screen 1195,391
[1780928115628] event: mousemove Some(0.6419270833333334) Some(0.3101851851851852) -> screen 1202,396
[1780928115649] event: mousemove Some(0.6315104166666666) Some(0.30787037037037035) -> screen 1186,394
[1780928115670] event: mousemove Some(0.6256510416666666) Some(0.30787037037037035) -> screen 1177,394
[1780928115690] event: mousemove Some(0.6315104166666666) Some(0.30787037037037035) -> screen 1186,394
[1780928115711] event: mousemove Some(0.638671875) Some(0.29976851851851855) -> screen 1197,387
[1780928115732] event: mousemove Some(0.642578125) Some(0.28587962962962965) -> screen 1203,375
[1780928115753] event: mousemove Some(0.6360677083333334) Some(0.2835648148148148) -> screen 1193,373
[1780928115774] event: mousemove Some(0.6171875) Some(0.2835648148148148) -> screen 1164,373
[1780928115795] event: mousemove Some(0.60546875) Some(0.2835648148148148) -> screen 1146,373
[1780928115815] event: mousemove Some(0.5989583333333334) Some(0.2847222222222222) -> screen 1136,374
[1780928115836] event: mouseup Some(0.5970052083333334) Some(0.28703703703703703) -> screen 1133,376
[1780928115857] event: mousemove Some(0.5950520833333334) Some(0.29282407407407407) -> screen 1130,381
[1780928115878] event: mousemove Some(0.5865885416666666) Some(0.33101851851851855) -> screen 1117,414
[1780928115898] event: mousemove Some(0.5657552083333334) Some(0.3761574074074074) -> screen 1085,453
[1780928115919] event: mousemove Some(0.5598958333333334) Some(0.3888888888888889) -> screen 1076,464
[1780928115940] event: mousemove Some(0.564453125) Some(0.4016203703703703) -> screen 1083,475
[1780928115960] event: mousemove Some(0.5559895833333334) Some(0.4050925925925926) -> screen 1070,478
[1780928115981] event: mousemove Some(0.5501302083333334) Some(0.4085648148148148) -> screen 1061,481
[1780928116001] event: mousedown Some(0.5481770833333334) Some(0.4097222222222222) -> screen 1058,482
[1780928116046] event: mousemove Some(0.5481770833333334) Some(0.38310185185185186) -> screen 1058,459
[1780928116067] event: mousemove Some(0.546875) Some(0.3449074074074074) -> screen 1056,426
[1780928116087] event: mousemove Some(0.544921875) Some(0.3113425925925926) -> screen 1053,397
[1780928116108] event: mousemove Some(0.544921875) Some(0.2986111111111111) -> screen 1053,386
[1780928116129] event: mousemove Some(0.5475260416666666) Some(0.2881944444444444) -> screen 1057,377
[1780928116149] event: mousemove Some(0.5501302083333334) Some(0.2800925925925926) -> screen 1061,370
[1780928116170] event: mousemove Some(0.5501302083333334) Some(0.29050925925925924) -> screen 1061,379
[1780928116190] event: mousemove Some(0.5494791666666666) Some(0.30092592592592593) -> screen 1060,388
[1780928116211] event: mousemove Some(0.5475260416666666) Some(0.3148148148148148) -> screen 1057,400
[1780928116232] event: mousemove Some(0.5475260416666666) Some(0.30092592592592593) -> screen 1057,388
[1780928116253] event: mouseup Some(0.5475260416666666) Some(0.2951388888888889) -> screen 1057,383
[1780928116273] event: mousemove Some(0.5377604166666666) Some(0.30324074074074076) -> screen 1042,390
[1780928116294] event: mousemove Some(0.48828125) Some(0.2881944444444444) -> screen 966,377
[1780928116315] event: mousemove Some(0.4192708333333333) Some(0.25578703703703703) -> screen 860,349
[1780928116335] event: mousemove Some(0.404296875) Some(0.2361111111111111) -> screen 837,332
[1780928116356] event: mousemove Some(0.4036458333333333) Some(0.22685185185185183) -> screen 836,324
[1780928116376] event: mousemove Some(0.3984375) Some(0.2199074074074074) -> screen 828,318
[1780928116397] event: mousemove Some(0.3873697916666667) Some(0.20601851851851852) -> screen 811,306
[1780928116418] event: mousemove Some(0.353515625) Some(0.1828703703703704) -> screen 759,286
[1780928116438] event: mousemove Some(0.32421875) Some(0.16550925925925927) -> screen 714,271
[1780928116459] event: mousemove Some(0.3131510416666667) Some(0.1574074074074074) -> screen 697,264
[1780928116479] event: mousemove Some(0.3177083333333333) Some(0.1423611111111111) -> screen 704,251
[1780928116500] event: mousemove Some(0.318359375) Some(0.12731481481481485) -> screen 705,238
[1780928116521] event: mousemove Some(0.3125) Some(0.11689814814814815) -> screen 696,229
[1780928116541] event: mousemove Some(0.3098958333333333) Some(0.10532407407407408) -> screen 692,219
[1780928116562] colour_select: hex=#F6F2F3
[1780928117646] event: mousemove Some(0.32421875) Some(0.11805555555555557) -> screen 714,230
[1780928117666] event: mousemove Some(0.3736979166666667) Some(0.1712962962962963) -> screen 790,276
[1780928117688] event: mousemove Some(0.4329427083333333) Some(0.21296296296296297) -> screen 881,312
[1780928117709] event: mousemove Some(0.462890625) Some(0.2337962962962963) -> screen 927,330
[1780928117730] event: mousemove Some(0.46875) Some(0.23726851851851852) -> screen 936,333
[1780928117750] event: mousemove Some(0.4759114583333333) Some(0.24074074074074073) -> screen 947,336
[1780928117771] event: mousemove Some(0.4850260416666667) Some(0.2523148148148148) -> screen 961,346
[1780928117792] event: mousemove Some(0.5052083333333334) Some(0.2662037037037037) -> screen 992,358
[1780928117813] event: mousemove Some(0.525390625) Some(0.2789351851851852) -> screen 1023,369
[1780928117834] event: mousemove Some(0.5501302083333334) Some(0.2881944444444444) -> screen 1061,377
[1780928117854] event: mousedown Some(0.5481770833333334) Some(0.28703703703703703) -> screen 1058,376
[1780928117891] event: mousemove Some(0.5625) Some(0.28703703703703703) -> screen 1080,376
[1780928117911] event: mousemove Some(0.5735677083333334) Some(0.2847222222222222) -> screen 1097,374
[1780928117932] event: mousemove Some(0.5813802083333334) Some(0.2847222222222222) -> screen 1109,374
[1780928117952] event: mousemove Some(0.58984375) Some(0.28587962962962965) -> screen 1122,375
[1780928117973] event: mousemove Some(0.595703125) Some(0.28703703703703703) -> screen 1131,376
[1780928117994] event: mouseup Some(0.595703125) Some(0.28703703703703703) -> screen 1131,376
[1780928118014] event: mousemove Some(0.5924479166666666) Some(0.2951388888888889) -> screen 1126,383
[1780928118035] event: mousemove Some(0.583984375) Some(0.3125) -> screen 1113,398
[1780928118056] event: mousemove Some(0.5787760416666666) Some(0.3773148148148148) -> screen 1105,454
[1780928118076] event: mousemove Some(0.56640625) Some(0.44907407407407407) -> screen 1086,516
[1780928118097] event: mousemove Some(0.5462239583333334) Some(0.49189814814814814) -> screen 1055,553
[1780928118118] event: mousemove Some(0.53125) Some(0.5034722222222222) -> screen 1032,563
[1780928118138] event: mousemove Some(0.5182291666666666) Some(0.4965277777777778) -> screen 1012,557
[1780928118159] event: mousemove Some(0.4622395833333333) Some(0.4513888888888889) -> screen 926,518
